date,close,volume,open,high,low,symbol
2024-09-06,102.83,413638100,108.04,108.15,100.95,NVDA
2024-09-05,107.21,306850700,104.985,109.65,104.76,NVDA
2024-09-04,106.21,372470300,105.41,113.27,104.12,NVDA
2024-09-03,108.0,477155100,116.01,116.21,107.29,NVDA
2024-08-30,119.37,333751600,119.53,121.75,117.22,NVDA
2024-08-29,117.59,453023300,121.355,124.43,116.71,NVDA
2024-08-28,125.61,448101100,128.12,128.33,122.64,NVDA
2024-08-27,128.3,303134600,125.05,129.2,123.88,NVDA
2024-08-26,126.46,331964700,129.57,131.26,124.37,NVDA
2024-08-23,129.37,323230300,125.86,129.6,125.22,NVDA
2024-08-22,123.74,376189100,130.02,130.75,123.1,NVDA
2024-08-21,128.5,257883600,127.315,129.35,126.66,NVDA
2024-08-20,127.25,300087400,128.4,129.88,125.89,NVDA
2024-08-19,130.0,318333600,124.28,130.0,123.42,NVDA
2024-08-16,124.58,302589900,121.94,125.0,121.18,NVDA
2024-08-15,122.86,318086700,118.76,123.24,117.47,NVDA
2024-08-14,118.08,339246400,118.53,118.6,114.07,NVDA
2024-08-13,116.14,312646700,112.44,116.23,111.58,NVDA
2024-08-12,109.02,325559900,106.32,111.07,106.26,NVDA
2024-08-09,104.75,290844200,105.64,106.6,103.43,NVDA
2024-08-08,104.97,391910000,102.0,105.5,97.52,NVDA
2024-08-07,98.91,411440400,107.81,108.8,98.69,NVDA
2024-08-06,104.25,409012100,103.84,107.71,100.55,NVDA
2024-08-05,100.45,552842400,92.06,103.41,90.69,NVDA
2024-08-02,107.27,482027500,103.76,108.72,101.37,NVDA
2024-08-01,109.21,523462300,117.53,120.16,106.8104,NVDA
2024-07-31,117.02,473174200,112.9,118.34,110.88,NVDA
2024-07-30,103.73,486833300,111.52,111.99,102.54,NVDA
2024-07-29,111.59,248152100,113.69,116.28,111.3,NVDA
2024-07-26,113.06,293399100,116.19,116.2,111.58,NVDA
2024-07-25,112.28,460067000,113.04,116.63,106.3,NVDA
2024-07-24,114.25,327776900,119.17,119.95,113.44,NVDA
2024-07-23,122.59,173911000,122.78,124.69,122.1,NVDA
2024-07-22,123.54,258068900,120.35,124.07,119.86,NVDA
2024-07-19,117.93,217223800,120.35,121.6,117.37,NVDA
2024-07-18,121.09,320979500,121.85,122.4,116.56,NVDA
2024-07-17,117.99,390086200,121.35,121.85,116.72,NVDA
2024-07-16,126.36,214769500,128.44,129.04,124.58,NVDA
2024-07-15,128.44,208326200,130.56,131.39,127.18,NVDA
2024-07-12,129.24,252680500,128.26,131.92,127.22,NVDA
2024-07-11,127.4,374782700,135.75,136.15,127.05,NVDA
2024-07-10,134.91,248978600,134.03,135.1,132.42,NVDA
2024-07-09,131.38,287020800,130.35,133.82,128.65,NVDA
2024-07-08,128.2,237677300,127.49,130.77,127.04,NVDA
2024-07-05,125.83,214176700,127.38,128.85,125.68,NVDA
2024-07-03,128.28,215749000,121.66,128.28,121.36,NVDA
2024-07-02,122.67,218374000,121.13,123.41,121.03,NVDA
2024-07-01,124.3,284885500,123.47,124.84,118.83,NVDA
2024-06-28,123.54,315516700,124.58,127.71,122.75,NVDA
2024-06-27,123.99,252571700,124.1,126.41,122.92,NVDA
2024-06-26,126.4,362975900,126.13,128.12,122.6,NVDA
2024-06-25,126.09,425787500,121.2,126.5,119.32,NVDA
2024-06-24,118.11,476060900,123.24,124.46,118.04,NVDA
2024-06-21,126.57,655484700,127.12,130.63,124.3,NVDA
2024-06-20,130.78,517768400,139.8,140.76,129.52,NVDA
2024-06-18,135.58,294335100,131.14,136.33,130.69,NVDA
2024-06-17,130.98,288504400,132.99,133.73,129.58,NVDA
2024-06-14,131.88,309320400,129.96,132.84,128.32,NVDA
2024-06-13,129.61,260704500,129.39,129.8,127.16,NVDA
2024-06-12,125.2,299595000,123.06,126.88,122.57,NVDA
2024-06-11,120.91,222551200,121.77,122.87,118.74,NVDA
2024-06-10,121.79,314162700,120.37,123.1,117.01,NVDA
2024-06-07,120.888,412385800,119.77,121.6917,118.022,NVDA
2024-06-06,120.998,664696200,124.048,125.587,118.32,NVDA
2024-06-05,122.44,528401800,118.371,122.4495,117.468,NVDA
2024-06-04,116.437,403324000,115.716,116.6,114.045,NVDA
2024-06-03,115.0,438391800,113.621,115.0,112.003,NVDA
2024-05-31,109.633,613262500,112.52,112.717,106.94,NVDA
